FREQ, UX_2, , UX_3, , UX_4,,,,
, REAL, IMAGINARY, REAL, IMAGINARY, REAL, IMAGINARY,,,
0.143,-1.17446952,-3.82E-08,-1.20878004,1.47E-08,-1.18301653,-2.50E-08,-2.50E-08,0.97161558,0.99277524
0.144,-1.15787163,-3.84E-08,-1.19218387,1.48E-08,-1.16641863,-2.52E-08,-2.52E-08,0.971219003,0.992672442
0.145,-1.14161593,-3.87E-08,-1.17592991,1.49E-08,-1.15016293,-2.54E-08,-2.54E-08,0.970819706,0.992568879
0.146,-1.12569308,-3.90E-08,-1.16000881,1.50E-08,-1.13424008,-2.56E-08,-2.56E-08,0.970417699,0.992464558
0.147,-1.11009405,-3.93E-08,-1.14441155,1.51E-08,-1.11864106,-2.58E-08,-2.58E-08,0.970012973,0.992359471
0.148,-1.09481013,-3.95E-08,-1.12912941,1.52E-08,-1.10335713,-2.59E-08,-2.59E-08,0.969605539,0.992253641
0.149,-1.07983287,-3.98E-08,-1.11415394,1.53E-08,-1.08837988,-2.61E-08,-2.61E-08,0.969195397,0.992147034
0.15,-1.06515414,-4.01E-08,-1.09947701,1.55E-08,-1.07370115,-2.63E-08,-2.63E-08,0.968782549,0.992039675
0.151,-1.05076604,-4.03E-08,-1.08509073,1.56E-08,-1.05931305,-2.65E-08,-2.65E-08,0.968366986,0.991931554
0.152,-1.03666096,-4.06E-08,-1.07098748,1.57E-08,-1.04520797,-2.66E-08,-2.66E-08,0.96794872,0.99182267
0.153,-1.02283152,-4.09E-08,-1.05715988,1.58E-08,-1.03137853,-2.68E-08,-2.68E-08,0.96752775,0.991713023
0.154,-1.00927059,-4.11E-08,-1.04360079,1.59E-08,-1.01781759,-2.70E-08,-2.70E-08,0.967104088,0.991602621
0.155,-0.995971245,-4.14E-08,-1.03030331,1.60E-08,-1.00451825,-2.72E-08,-2.72E-08,0.966677711,0.991491439
0.156,-0.982926815,-4.17E-08,-1.01726076,1.61E-08,-0.991473824,-2.74E-08,-2.74E-08,0.966248629,0.991379491
0.157,-0.970130822,-4.20E-08,-1.00446665,1.62E-08,-0.97867783,-2.75E-08,-2.75E-08,0.965816856,0.991266781
0.158,-0.957576995,-4.22E-08,-0.991914729,1.63E-08,-0.966124003,-2.77E-08,-2.77E-08,0.965382373,0.991153301
0.159,-0.945259261,-4.25E-08,-0.979598909,1.64E-08,-0.95380627,-2.79E-08,-2.79E-08,0.964945196,0.991039051
0.16,-0.933171737,-4.28E-08,-0.967513311,1.65E-08,-0.941718746,-2.81E-08,-2.81E-08,0.964505321,0.990924032
0.161,-0.921308721,-4.30E-08,-0.955652232,1.66E-08,-0.92985573,-2.83E-08,-2.83E-08,0.964062752,0.990808242
0.162,-0.909664686,-4.33E-08,-0.944010148,1.67E-08,-0.918211695,-2.84E-08,-2.84E-08,0.963617486,0.990691679
0.163,-0.898234275,-4.36E-08,-0.932581699,1.68E-08,-0.906781283,-2.86E-08,-2.86E-08,0.963169528,0.990574344
0.164,-0.887012292,-4.39E-08,-0.921361692,1.69E-08,-0.895559301,-2.88E-08,-2.88E-08,0.962718875,0.990456233
0.165,-0.875993702,-4.41E-08,-0.910345089,1.70E-08,-0.88454071,-2.90E-08,-2.90E-08,0.962265533,0.990337349
0.166,-0.865173616,-4.44E-08,-0.899527004,1.72E-08,-0.873720625,-2.92E-08,-2.92E-08,0.961809498,0.990217687
0.167,-0.854547295,-4.47E-08,-0.888902696,1.73E-08,-0.863094304,-2.93E-08,-2.93E-08,0.961350774,0.990097248
0.168,-0.844110139,-4.49E-08,-0.878467565,1.74E-08,-0.852657148,-2.95E-08,-2.95E-08,0.960889363,0.989976031
0.169,-0.833857683,-4.52E-08,-0.868217147,1.75E-08,-0.842404692,-2.97E-08,-2.97E-08,0.960425264,0.989854034
0.17,-0.823785595,-4.55E-08,-0.858147109,1.76E-08,-0.832332604,-2.99E-08,-2.99E-08,0.959958481,0.989731258
0.171,-0.813889668,-4.58E-08,-0.848253243,1.77E-08,-0.822436676,-3.01E-08,-3.01E-08,0.959489014,0.989607701
0.172,-0.804165816,-4.60E-08,-0.838531466,1.78E-08,-0.812712824,-3.02E-08,-3.02E-08,0.959016863,0.98948336
0.173,-0.794610072,-4.63E-08,-0.82897781,1.79E-08,-0.80315708,-3.04E-08,-3.04E-08,0.958542029,0.989358236
0.174,-0.785218583,-4.66E-08,-0.81958842,1.80E-08,-0.793765591,-3.06E-08,-3.06E-08,0.958064516,0.989232327
0.175,-0.775987604,-4.68E-08,-0.810359554,1.81E-08,-0.784534613,-3.08E-08,-3.08E-08,0.957584322,0.989105632
0.176,-0.766913499,-4.71E-08,-0.801287574,1.82E-08,-0.775460508,-3.10E-08,-3.10E-08,0.95710145,0.988978151
